,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
247,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,7,204.955,323099079
248,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,8,203.755,323099079
249,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,9,204.293,323099079
250,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,0,219.926,323099079
251,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,1,205.479,323099079
252,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,2,206.607,323099079
253,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,3,207.915,323099079
254,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,4,205.347,323099079
255,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,5,207.246,323099079
256,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,6,205.07,323099079
257,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,7,206.381,323099079
258,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,8,205.179,323099079
259,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,9,205.593,323099079
260,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,0,248.916,330072227
261,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,1,237.397,330072227
262,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,2,236.665,330072227
263,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,3,237.584,330072227
264,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,4,242.785,330072227
265,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,5,236.55,330072227
266,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,6,235.66,330072227
267,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,7,235.907,330072227
268,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,8,235.702,330072227
269,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,9,234.789,330072227
270,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,0,249.141,330072227
271,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,1,236.423,330072227
272,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,1,2,237.403,330072227
